title,developers,genres,platforms
Possession (video game),Volatile Games,Survival horror,"Microsoft Windows, PlayStation 3, Xbox 360"
Prehistoric Isle,SNK,Shoot 'em up,Arcade game
Project Eden (video game),Core Design,Action-adventure game,"Microsoft Windows, PlayStation 2"
Prop Cycle,Namco,Racing game,Arcade game
Rastan Saga II,Taito,Platformer,"Arcade video game, PlayStation 4, Sega Genesis, TurboGrafx-16, Virtual Console"
Ravenloft: Stone Prophet,DreamForge Intertainment,Role-playing video game,MS-DOS
Razor Freestyle Scooter,Shaba Games,Sports video game,"Dreamcast, Game Boy Advance, Game Boy Color, Nintendo 64, PlayStation (console)"
Redneck Deer Huntin',Gray Matter Studios,Sports video game,MS-DOS
DONKEY.BAS,Microsoft,Racing game,IBM PC DOS
E.X. Troopers,"Capcom, HexaDrive","Action game, Third-person shooter","Nintendo 3DS, PlayStation 3"
Mega Turrican,"Factor 5, Kaiko (company)",Shoot 'em up,"Amiga, Sega Genesis"
Top Hunter: Roddy & Cathy,SNK,"Action game, Beat 'em up, Platformer","Arcade game, Neo Geo (system), Neo Geo CD"
Toys (video game),Imagineering (company),Action game,"Sega Genesis, Super Nintendo Entertainment System"
Trax (video game),HAL Laboratory,Shooter game,Game Boy
Ucchannanchan no Honō no Challenger: Denryū Iraira Bō,Yuke's,Puzzle video game,Nintendo 64
